City,Auction_Category,Property_Name,Property_Type,Lot_Area_sqm,Floor_Area_sqm,Price_PHP,Occupancy_Status,Auction_Date,Source
BOGO CITY,Second Auction,VILLA CASITA - BOGO,Row House,36,24.05,562230,Occupied,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 10, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 10, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 10, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 10, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 10, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 10, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 10, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 10, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 10, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 10, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Lot Only,156,0,390000,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Single Detached,156,38.4,652528,Occupied,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,FATEHILLS SUBDIVISION,Single Detached,156,98.71,1233700,Occupied,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
BOGO CITY,Negotiated Sale,NON SUBDIVISION,Single Attached,1525,45,7705000,Occupied/Closed,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
CARCAR CITY,First Auction,TIERRA NAVA SUBDIVISION,Town House,42,36,1345000,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 3, 2026 11:59 PM",Pag-IBIG OPA
CARCAR CITY,Second Auction,ESPERANZA HOMES,Row House,34,20.2,507703,Unoccupied,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
CARCAR CITY,Negotiated Sale,LUMINA CARCAR,Row House - End with Firewall,54,22,675720,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 10, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,First Auction,NHA HOUSING PROJECT,Lot Only,80,0,720000,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 3, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,First Auction,URBAN DECA HOMES TISA 2,Condominium,0,26.8,1809300,Occupied,"|   Mar. 30, 2026 12:00 AM - Apr. 3, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,First Auction,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Occupied,"|   Mar. 30, 2026 12:00 AM - Apr. 3, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,First Auction,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Occupied,"|   Mar. 30, 2026 12:00 AM - Apr. 3, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,First Auction,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Occupied,"|   Mar. 30, 2026 12:00 AM - Apr. 3, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,First Auction,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Occupied,"|   Mar. 30, 2026 12:00 AM - Apr. 3, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,First Auction,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Occupied,"|   Mar. 30, 2026 12:00 AM - Apr. 3, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,First Auction,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Occupied,"|   Mar. 30, 2026 12:00 AM - Apr. 3, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,First Auction,URBAN DECA HOMES TISA 2,Condominium,0,36.5,2795500,Occupied,"|   Mar. 30, 2026 12:00 AM - Apr. 3, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,First Auction,URBAN DECA HOMES TISA 2,Condominium,0,36.5,2795500,Occupied,"|   Mar. 30, 2026 12:00 AM - Apr. 3, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,First Auction,URBAN DECA HOMES TISA 2,Condominium,0,36.5,2795500,Occupied,"|   Mar. 30, 2026 12:00 AM - Apr. 3, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Second Auction,URBAN DECA HOMES TISA,Condominium,0,25,1481040,Occupied/Closed,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,URBAN DECA HOMES TISA,Condominium,0,25,1307500,Unoccupied,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,URBAN DECA HOMES TISA,Condominium,0,25,1439900,Occupied,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 10, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Unoccupied,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Unoccupied,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Unoccupied,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Occupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Occupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,18.87,2102100,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,URBAN DECA HOMES TISA,Condominium,0,36.5,2795500,Occupied/Closed,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,URBAN DECA HOMES TISA 2,Condominium,0,36.5,2795500,Occupied,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,URBAN DECA HOMES TISA 2,Condominium,0,36.5,2795500,Occupied,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,URBAN DECA HOMES TISA,Condominium,0,36.5,2795500,Occupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,URBAN DECA HOMES TISA 2,Condominium,0,36.5,2795500,Occupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,URBAN DECA HOMES TISA 2,Condominium,0,36.5,2795500,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,UNIPLACE @ SWU VILLAGE,Condominium,0,24,3770300,Unoccupied,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,37.74,4204200,Occupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,37.74,4204200,Unoccupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CEBU CITY,Negotiated Sale,BAYANIHAN FLATS - ORCHARD DRIVE,Condominium,0,37.74,4204200,Occupied,"|   Mar. 16, 2026 12:00 PM - Mar. 20, 2026 11:59 PM",Pag-IBIG OPA
CONSOLACION,Second Auction,DEO RESIDENCES,Town House,44,78.92,2963736,Unoccupied,"|   Mar. 30, 2026 12:00 AM - Apr. 3, 2026 11:59 PM",Pag-IBIG OPA
CONSOLACION,Negotiated Sale,D` PEARL CONDOMINIUM BLDG. 1,Condominium,0,31.39,1337000,Occupied/Closed,"|   Mar. 23, 2026 12:00 AM - Mar. 27, 2026 11:59 PM",Pag-IBIG OPA
